name,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Alabama,17693.0,12918.0,127.0,179.0,22158.0,22158.0,101.0,0.0,26841.0,24439.0,2402.0,28304.0,25555.0,2749.0,33.0,24.0,28.0,7.0,10.0,6.0,9.0,5.0,7.0,4.5,32.75,-86.75
Alaska,3490.0,3101.0,93.0,134.0,3622.0,4129.0,90.0,100.0,4380.0,4001.0,379.0,4475.0,4049.0,426.0,21.0,18.0,1334.0,3.0,17.0,4.0,9.0,3.0,1.0,3.75,64.0,-150.0
Arizona,30426.0,30591.0,101.0,107.0,29482.0,34013.0,105.0,97.0,42005.0,37820.0,4185.0,42441.0,38035.0,4406.0,21.0,17.0,20194.0,10.0,15.0,5.0,12.0,4.0,2.0,4.8,34.5,-111.5
Arkansas,10026.0,13913.0,104.0,100.0,10026.0,14673.0,104.0,95.0,17799.0,16396.0,1403.0,17759.0,16188.0,1571.0,26.0,25.0,10739.0,0.0,24.0,2.0,7.0,2.0,1.0,4.8,34.75,-92.5
California,97740.0,95562.0,167.0,178.0,167367.0,120625.0,98.0,141.0,128625.0,122847.0,5778.0,122687.0,117119.0,5568.0,100.0,82.0,77199.0,28.0,44.0,7.0,34.0,29.0,15.0,2.03,37.25,-119.75
Colorado,16543.0,19388.0,95.0,107.0,17882.0,22451.0,88.0,93.0,20372.0,18347.0,2025.0,19785.0,17866.0,1919.0,58.0,36.0,13369.0,15.0,28.0,4.0,12.0,9.0,12.0,2.78,39.0,-105.5
Connecticut,16869.0,16869.0,101.0,0.0,17600.0,18688.0,97.0,102.0,13681.0,12679.0,1002.0,12823.0,11882.0,941.0,49.0,32.0,322.0,4.0,22.0,2.0,4.0,9.0,9.0,4.87,41.62,-72.7028
Delaware,4567.0,5419.0,132.0,125.0,5716.0,6845.0,105.0,99.0,6067.0,5646.0,421.0,5692.0,5313.0,379.0,12.0,12.0,1781.0,2.0,11.0,2.0,3.0,1.0,0.0,2.55,38.67,-75.4165
Florida,56402.0,87861.0,127.0,99.0,75619.0,67915.0,95.0,128.0,97538.0,90812.0,6726.0,96009.0,89381.0,6628.0,109.0,105.0,68175.0,14.0,101.0,29.0,66.0,4.0,3.0,2.1,28.42,-81.55
Georgia,44289.0,51380.0,100.0,101.0,45552.0,53162.0,97.0,97.0,53647.0,49708.0,3939.0,54816.0,50798.0,4018.0,87.0,83.0,36774.0,14.0,62.0,14.0,55.0,20.0,2.0,3.7,32.16,-83.4715
Hawaii,2535.0,2625.0,148.0,151.0,3460.0,3581.0,109.0,110.0,5375.0,4716.0,659.0,5279.0,4523.0,756.0,10.0,8.0,1718.0,3.0,7.0,3.0,5.0,1.0,2.0,3.36,20.79,-156.34
Idaho,4431.0,5351.0,89.0,112.0,5233.0,5948.0,76.0,100.0,8664.0,7524.0,1140.0,9437.0,8117.0,1320.0,15.0,13.0,2286.0,4.0,12.0,0.0,6.0,4.0,1.0,2.3,44.07,-114.542
Illinois,28978.0,28978.0,152.0,0.0,33761.0,30797.0,131.0,136.0,39965.0,37627.0,2338.0,38259.0,35995.0,2264.0,44.0,43.0,29544.0,5.0,43.0,0.0,10.0,8.0,1.0,3.59,40.0,-89.25
Indiana,9932.0,18708.0,183.0,124.0,15215.0,25108.0,120.0,92.0,26877.0,24310.0,2567.0,27180.0,24576.0,2604.0,23.0,21.0,17185.0,9.0,19.0,5.0,16.0,6.0,2.0,3.6,40.0,-86.25
Iowa,8234.0,8520.0,110.0,119.0,8484.0,8719.0,107.0,116.0,9419.0,8582.0,837.0,9282.0,8443.0,839.0,31.0,27.0,5944.0,6.0,10.0,6.0,8.0,22.0,2.0,2.34,42.0,-93.5
Kansas,8996.0,9823.0,100.0,96.0,9094.0,9655.0,99.0,98.0,10218.0,9289.0,929.0,10177.0,9267.0,910.0,13.0,12.0,5975.0,6.0,9.0,2.0,9.0,2.0,0.0,2.7,38.5,-98.5
Kentucky,11349.0,14255.0,109.0,105.0,13010.0,15451.0,95.0,97.0,23431.0,20380.0,3051.0,23082.0,20177.0,2905.0,25.0,25.0,9862.0,11.0,23.0,4.0,16.0,6.0,0.0,5.1,37.79,-84.87
Louisiana,18792.0,19395.0,102.0,105.0,19704.0,19415.0,97.0,105.0,32397.0,30649.0,1748.0,31609.0,29920.0,1689.0,23.0,21.0,16469.0,8.0,14.0,13.0,12.0,8.0,2.0,3.82,30.69,-92.241
Maine,1462.0,1801.0,111.0,109.0,1545.0,1837.0,105.0,107.0,2425.0,2188.0,237.0,2185.0,2000.0,185.0,7.0,7.0,1921.0,5.0,5.0,4.0,4.0,1.0,0.0,4.33,45.5,-69.24
Maryland,17517.0,16063.0,130.0,141.0,24466.0,24265.0,93.0,93.0,18856.0,18033.0,823.0,18595.0,17864.0,731.0,29.0,24.0,13825.0,11.0,23.0,0.0,12.0,4.0,2.0,4.07,39.44,-77.0834
Massachusetts,9611.0,8610.0,109.0,119.0,12096.0,10980.0,87.0,93.0,8692.0,8168.0,524.0,8205.0,7904.0,301.0,17.0,16.0,2987.0,10.0,16.0,1.0,8.0,2.0,0.0,1.93,42.36,-72.1839
Michigan,49341.0,49341.0,97.0,0.0,48190.0,50674.0,99.0,99.0,38761.0,36680.0,2081.0,38053.0,36024.0,2029.0,62.0,56.0,28519.0,15.0,51.0,7.0,22.0,11.0,2.0,3.0,43.1,-84.6165
Minnesota,8175.0,9184.0,91.0,105.0,8175.0,9979.0,91.0,97.0,10101.0,9402.0,699.0,9982.0,9317.0,665.0,18.0,13.0,6608.0,8.0,12.0,1.0,6.0,3.0,4.0,3.6,46.25,-94.25
Mississippi,17690.0,18222.0,84.0,93.0,17238.0,18229.0,86.0,93.0,19275.0,17886.0,1389.0,19417.0,18034.0,1383.0,31.0,29.0,10723.0,3.0,13.0,3.0,19.0,0.0,0.0,3.68,33.5,-89.8071
Missouri,25370.0,26153.0,110.0,121.0,29815.0,32401.0,94.0,98.0,30369.0,27255.0,3114.0,26044.0,23643.0,2401.0,28.0,23.0,23769.0,13.0,21.0,2.0,16.0,7.0,3.0,1.75,38.25,-92.5
Montana,1930.0,2332.0,123.0,136.0,2436.0,3118.0,97.0,101.0,3765.0,3318.0,447.0,4723.0,4175.0,548.0,11.0,9.0,1669.0,1.0,5.0,1.0,1.0,6.0,2.0,2.04,47.0,-109.75
Nebraska,2303.0,3115.0,152.0,140.0,3419.0,3419.0,103.0,0.0,5491.0,5061.0,430.0,5682.0,5254.0,428.0,9.0,9.0,870.0,6.0,8.0,1.0,3.0,2.0,0.0,1.14,41.5,-99.75
Nevada,9055.0,11082.0,103.0,106.0,9683.0,12191.0,96.0,96.0,13641.0,12349.0,1292.0,12840.0,11601.0,1239.0,22.0,21.0,6126.0,10.0,16.0,2.0,11.0,11.0,0.0,2.53,39.25,-116.75
New Hampshire,2203.0,2402.0,103.0,99.0,2000.0,2177.0,114.0,109.0,2722.0,2491.0,231.0,2691.0,2463.0,228.0,8.0,8.0,1402.0,2.0,5.0,3.0,6.0,5.0,0.0,1.19,43.66,-71.49
New Jersey,20861.0,18131.0,130.0,142.0,26979.0,26024.0,101.0,99.0,19362.0,18592.0,770.0,18613.0,17912.0,701.0,42.0,33.0,20823.0,13.0,23.0,8.0,16.0,15.0,3.0,1.73,40.16,-74.49
New Mexico,5905.0,6035.0,87.0,119.0,6071.0,7357.0,85.0,98.0,7030.0,6256.0,774.0,6723.0,6046.0,677.0,11.0,9.0,3131.0,6.0,8.0,0.0,5.0,1.0,0.0,0.79,34.5,-106.0
New York,55299.0,57705.0,130.0,111.0,69014.0,63458.0,104.0,101.0,46636.0,44544.0,2092.0,43500.0,41572.0,1928.0,77.0,72.0,30738.0,20.0,69.0,13.0,31.0,7.0,1.0,0.72,43.0,-75.49
North Carolina,31810.0,36832.0,97.0,104.0,33759.0,40084.0,91.0,95.0,34899.0,32171.0,2728.0,34079.0,31398.0,2681.0,88.0,82.0,20502.0,21.0,77.0,4.0,56.0,13.0,1.0,2.45,35.5,-80.0
North Dakota,390.0,1455.0,254.0,97.0,907.0,1455.0,109.0,97.0,1695.0,1499.0,196.0,1794.0,1585.0,209.0,8.0,6.0,796.0,4.0,5.0,0.0,0.0,1.0,2.0,4.85,47.5,-100.0
Ohio,30506.0,30506.0,157.0,0.0,40707.0,36561.0,118.0,122.0,50431.0,46153.0,4278.0,50338.0,46072.0,4266.0,59.0,44.0,34510.0,17.0,36.0,9.0,22.0,18.0,10.0,2.03,40.25,-83.0
Oklahoma,22656.0,23399.0,105.0,107.0,25062.0,26163.0,95.0,96.0,26956.0,23860.0,3096.0,25679.0,23009.0,2670.0,53.0,52.0,18201.0,13.0,42.0,14.0,35.0,10.0,1.0,3.0,35.5,-97.5
Oregon,10193.0,12302.0,97.0,106.0,11381.0,13562.0,87.0,96.0,15268.0,14022.0,1246.0,14961.0,13740.0,1221.0,15.0,14.0,4954.0,7.0,13.0,3.0,10.0,2.0,1.0,2.4,44.0,-120.5
Pennsylvania,26357.0,38518.0,140.0,112.0,26402.0,40098.0,140.0,108.0,47239.0,44305.0,2934.0,45702.0,42886.0,2816.0,52.0,26.0,26476.0,19.0,26.0,0.0,26.0,0.0,16.0,2.23,40.86,-77.9
Rhode Island,3857.0,4054.0,87.0,84.0,3719.0,3861.0,90.0,88.0,2767.0,2613.0,154.0,2740.0,2583.0,157.0,7.0,7.0,1663.0,3.0,7.0,0.0,2.0,2.0,0.0,0.7,41.5,-71.4757
South Carolina,19385.0,23163.0,110.0,97.0,23327.0,23310.0,91.0,97.0,19033.0,17706.0,1327.0,18608.0,17327.0,1281.0,33.0,29.0,17053.0,16.0,29.0,6.0,20.0,6.0,0.0,1.28,34.0,-81.0
South Dakota,2372.0,2605.0,109.0,132.0,2633.0,3653.0,98.0,94.0,3948.0,3377.0,571.0,3801.0,3239.0,562.0,6.0,3.0,831.0,3.0,3.0,0.0,3.0,0.0,1.0,2.18,44.5,-100.25
Tennessee,18724.0,17930.0,98.0,109.0,19120.0,20168.0,96.0,97.0,26321.0,23642.0,2679.0,26349.0,23615.0,2734.0,19.0,17.0,14287.0,8.0,14.0,4.0,12.0,7.0,1.0,3.0,35.75,-86.25
Texas,169773.0,170232.0,96.0,96.0,170328.0,171362.0,95.0,95.0,163628.0,149193.0,14435.0,158429.0,144787.0,13642.0,132.0,119.0,123419.0,34.0,114.0,51.0,89.0,4.0,6.0,3.9,31.25,-99.25
Utah,4463.0,5382.0,109.0,101.0,5283.0,5513.0,92.0,99.0,6651.0,6076.0,575.0,6665.0,6083.0,582.0,7.0,5.0,595.0,2.0,5.0,1.0,2.0,2.0,1.0,3.64,39.25,-111.75
Vermont,1234.0,1617.0,106.0,99.0,1345.0,1665.0,97.0,96.0,1659.0,1519.0,140.0,1608.0,1484.0,124.0,9.0,9.0,513.0,3.0,8.0,2.0,1.0,2.0,0.0,2.42,44.16,-72.7678
Virginia,14792.0,14792.0,212.0,0.0,32759.0,32469.0,96.0,97.0,36660.0,33620.0,3040.0,36091.0,33090.0,3001.0,59.0,58.0,21089.0,20.0,53.0,29.0,28.0,13.0,0.0,1.97,37.77,-78.24
Washington,13165.0,14731.0,112.0,110.0,9947.0,12293.0,148.0,131.0,19523.0,17803.0,1720.0,19261.0,17626.0,1635.0,32.0,29.0,6375.0,9.0,15.0,5.0,10.0,23.0,3.0,2.46,47.5,-120.5
West Virginia,3193.0,2976.0,96.0,132.0,3098.0,4047.0,99.0,97.0,6775.0,5989.0,786.0,6800.0,5979.0,821.0,15.0,11.0,2074.0,6.0,11.0,4.0,8.0,1.0,1.0,1.32,38.63,-80.73
Wisconsin,11774.0,16324.0,132.0,136.0,14417.0,20380.0,108.0,109.0,24064.0,22473.0,1591.0,23956.0,22405.0,1551.0,41.0,39.0,8980.0,17.0,38.0,8.0,18.0,14.0,1.0,1.8,44.5,-90.0
Wyoming,2795.0,1736.0,78.0,82.0,2914.0,1772.0,75.0,80.0,2543.0,2207.0,336.0,2479.0,2142.0,337.0,7.0,7.0,1001.0,0.0,5.0,2.0,3.0,4.0,0.0,3.2,43.0,-107.5
