state,month,civ_death,civ_cases,civ_hosp,civ_tests
AK,1.0,56,7137,182,224575
AK,3.0,3,128,12,3713
AK,4.0,6,227,26,15406
AK,5.0,1,108,12,32576
AK,6.0,4,481,18,60490
AK,7.0,9,2049,83,120921
AK,8.0,14,2293,90,115524
AK,9.0,19,2603,74,108577
AK,10.0,26,7423,140,147000
AK,11.0,39,16011,270,407189
AK,12.0,85,14138,298,264354
AL,1.0,2861,98413,7675,0
AL,3.0,13,981,0,0
AL,4.0,256,6038,978,0
AL,5.0,362,10884,866,0
AL,6.0,319,20142,925,0
AL,7.0,630,49678,7752,0
AL,8.0,602,38335,3746,0
AL,9.0,358,28643,2990,0
AL,10.0,427,37584,3193,0
AL,11.0,611,57239,4888,0
AL,12.0,1249,111702,8846,0
AR,1.0,1192,70130,2252,380050
AR,3.0,8,523,0,6482
AR,4.0,53,2732,402,41897
AR,5.0,72,3998,309,81136
AR,6.0,137,13524,702,181688
AR,7.0,183,21734,1439,191514
AR,8.0,344,18713,1361,224318
AR,9.0,572,22473,1141,302682
AR,10.0,556,28493,1684,317255
AR,11.0,577,45169,1899,336485
AR,12.0,1174,67779,2421,368031
AZ,1.0,4256,238197,15507,1638982
AZ,3.0,24,1287,530,27999
AZ,4.0,296,6359,1403,65390
AZ,5.0,586,12288,1442,217273
AZ,6.0,726,59279,1357,449170
AZ,7.0,2062,94795,6524,569004
AZ,8.0,1335,27825,10145,425329
AZ,9.0,621,16672,714,439302
AZ,10.0,329,27439,-627,636052
AZ,11.0,660,80871,4294,973575
AZ,12.0,2225,193390,11471,1256676
CA,1.0,15311,997969,0,9423536
CA,3.0,153,7429,0,29254
CA,4.0,1829,41435,0,596083
CA,5.0,2231,61666,0,1319511
CA,6.0,1767,118149,0,2222291
CA,7.0,3025,264856,0,3643902
CA,8.0,3928,210497,0,3562264
CA,9.0,2859,106540,0,3331897
CA,10.0,1834,111380,0,3897115
CA,11.0,1515,290963,0,5422854
CA,12.0,6245,1032411,0,8830311
CO,1.0,823,62082,3235,0
CO,3.0,69,2964,509,0
CO,4.0,708,12318,2188,0
CO,5.0,668,11094,1650,0
CO,6.0,245,6337,1142,0
CO,7.0,148,14094,952,0
CO,8.0,107,10615,587,0
CO,9.0,106,13112,540,0
CO,10.0,234,36814,1496,0
CO,11.0,752,125555,4424,0
CO,12.0,1777,101192,5110,0
CT,1.0,1051,64315,0,1383419
CT,3.0,69,3128,0,14600
CT,4.0,2188,24572,0,80218
CT,5.0,1687,14501,12538,155228
CT,6.0,378,4313,-2270,214368
CT,7.0,110,3296,539,327626
CT,8.0,33,3069,373,378930
CT,9.0,43,4671,380,420602
CT,10.0,108,13657,697,693324
CT,11.0,404,46088,0,968754
CT,12.0,975,68413,0,1056014
DC,1.0,127,7889,0,0
DC,3.0,9,495,0,0
DC,4.0,215,3828,0,0
DC,5.0,242,4478,0,0
DC,6.0,85,1526,0,0
DC,7.0,34,1799,0,0
DC,8.0,22,1866,0,0
DC,9.0,20,1334,0,0
DC,10.0,19,1940,0,0
DC,11.0,34,4286,0,0
DC,12.0,106,7431,0,0
DE,1.0,164,20615,0,0
DE,3.0,12,319,0,0
DE,4.0,198,4415,0,0
DE,5.0,258,4764,0,0
DE,6.0,41,1976,0,0
DE,7.0,76,3314,0,0
DE,8.0,20,2641,0,0
DE,9.0,31,3184,0,0
DE,10.0,72,4338,0,0
DE,11.0,64,10703,0,0
DE,12.0,154,21802,0,0
FL,1.0,4925,389172,9643,2988007
FL,2.0,0,0,0,0
FL,3.0,77,5612,823,0
FL,4.0,1213,26917,4972,0
FL,5.0,1244,21981,4658,1155650
FL,6.0,1070,95379,4426,1181515
FL,7.0,3362,313468,12026,2375022
FL,8.0,4365,153272,12037,1617394
FL,9.0,3157,81422,5666,1177434
FL,10.0,2481,93946,5306,1480635
FL,11.0,1865,191373,5640,2077984
FL,12.0,3156,317158,8187,2975525
GA,1.0,3264,242993,8153,1103356
GA,3.0,111,3927,833,19910
GA,4.0,1009,22226,4323,141271
GA,5.0,922,20831,2790,306283
GA,6.0,763,34305,3105,366269
GA,7.0,947,105061,7638,770397
GA,8.0,1880,84119,5915,739504
GA,9.0,1389,47555,3918,590045
GA,10.0,958,42764,3177,629003
GA,11.0,1473,110773,3125,751766
GA,12.0,1482,194889,7260,1034942
GU,1.0,7,270,0,9901
GU,3.0,2,66,0,0
GU,4.0,3,77,0,0
GU,5.0,0,27,0,6011
GU,6.0,0,86,0,7030
GU,7.0,0,97,0,8832
GU,8.0,5,1039,0,16001
GU,9.0,39,1093,0,12236
GU,10.0,30,2193,0,16508
GU,11.0,33,2171,0,17671
GU,12.0,10,465,0,11725
HI,1.0,122,4686,299,0
HI,3.0,0,204,12,0
HI,4.0,16,409,57,0
HI,5.0,1,38,14,54620
HI,6.0,1,249,28,35957
HI,7.0,8,1089,66,59817
HI,8.0,37,6350,328,110343
HI,9.0,69,4130,327,155203
HI,10.0,84,2747,265,-415940
HI,11.0,28,3007,190,0
HI,12.0,44,3609,481,0
IA,1.0,1010,28385,0,277237
IA,3.0,7,497,94,0
IA,4.0,155,6648,-94,0
IA,5.0,372,12407,0,0
IA,6.0,181,9455,0,0
IA,7.0,152,15575,0,0
IA,8.0,249,18746,0,0
IA,9.0,228,22268,0,0
IA,10.0,372,34159,0,0
IA,11.0,687,82655,0,0
IA,12.0,1488,36763,0,2218153
ID,1.0,322,22819,1107,134877
ID,3.0,7,415,45,0
ID,4.0,53,1569,130,0
ID,5.0,22,855,67,0
ID,6.0,9,2913,80,0
ID,7.0,86,14494,513,0
ID,8.0,182,11621,534,0
ID,9.0,105,9567,478,0
ID,10.0,162,22376,725,520322
ID,11.0,294,36674,1406,192980
ID,12.0,483,39380,1589,142265
IL,1.0,3275,162912,0,2761849
IL,3.0,99,5990,0,0
IL,4.0,2256,46924,0,0
IL,5.0,3035,67342,0,898259
IL,6.0,1734,23978,0,704706
IL,7.0,568,35880,0,1096603
IL,8.0,543,56607,0,1364593
IL,9.0,681,59038,0,1560661
IL,10.0,1134,120796,0,2105023
IL,11.0,2935,309745,0,2768153
IL,12.0,4993,237085,0,2779445
IN,1.0,1711,115197,5349,1332813
IN,2.0,0,0,0,4
IN,3.0,49,2159,0,24336
IN,4.0,1065,15676,0,103033
IN,5.0,1020,16739,5285,208962
IN,6.0,506,11020,1780,280118
IN,7.0,325,20560,1662,379812
IN,8.0,331,28042,2316,533067
IN,9.0,336,25823,1771,603930
IN,10.0,700,59339,4033,777355
IN,11.0,1391,159619,9171,1349347
IN,12.0,2540,172508,8981,1421746
KS,1.0,1038,52252,1657,2194854
KS,3.0,9,428,79,0
KS,4.0,120,3810,444,0
KS,5.0,79,5481,319,0
KS,6.0,62,4724,310,0
KS,7.0,88,13369,599,0
KS,8.0,88,14800,553,0
KS,9.0,232,17137,613,0
KS,10.0,351,25432,915,0
KS,11.0,531,72265,1273,0
KS,12.0,1181,64987,1655,0
KY,1.0,1122,97628,3199,441616
KY,3.0,11,480,0,6810
KY,4.0,224,4059,1359,47291
KY,5.0,196,5165,913,159485
KY,6.0,134,5920,349,156814
KY,7.0,170,14527,693,215676
KY,8.0,198,18245,1266,231060
KY,9.0,241,20444,699,558851
KY,10.0,311,38379,1931,519666
KY,11.0,423,71822,2844,687467
KY,12.0,715,86221,3434,565486
LA,1.0,1371,85351,0,772135
LA,3.0,239,5237,0,0
LA,4.0,1623,22764,0,0
LA,5.0,929,11915,0,375109
LA,6.0,430,18179,0,353402
LA,7.0,728,58185,0,613732
LA,8.0,1001,32614,0,530546
LA,9.0,561,18564,0,444390
LA,10.0,408,19191,0,442113
LA,11.0,501,45765,0,632434
LA,12.0,1068,82861,0,792658
MA,1.0,2154,148847,1910,2688203
MA,2.0,0,0,0,15
MA,3.0,153,6521,562,63975
MA,4.0,3409,55684,5380,289737
MA,5.0,3284,34760,3881,395703
MA,6.0,1208,11917,1514,354116
MA,7.0,555,8730,571,498946
MA,8.0,451,10921,456,801930
MA,9.0,396,3583,322,1646191
MA,10.0,535,26460,600,2052544
MA,11.0,757,67556,853,2297423
MA,12.0,1675,149046,1959,2544115
MD,1.0,1232,77811,5419,1305124
MD,3.0,43,1660,429,15258
MD,4.0,1183,20082,4130,103067
MD,5.0,1370,31036,4179,224811
MD,6.0,594,14781,2106,303883
MD,7.0,303,20787,1749,562204
MD,8.0,262,19903,1710,729623
MD,9.0,194,16476,1227,667067
MD,10.0,198,20556,1563,816749
MD,11.0,494,53089,3958,1007087
MD,12.0,1254,78292,5585,1278281
ME,1.0,243,15123,325,260708
ME,3.0,5,303,57,0
ME,4.0,48,792,113,0
ME,5.0,36,1230,113,50078
ME,6.0,16,928,65,44514
ME,7.0,18,659,40,72162
ME,8.0,9,614,32,95715
ME,9.0,9,865,29,172064
ME,10.0,6,1277,37,188139
ME,11.0,47,5089,213,253127
ME,12.0,153,12444,366,232050
MI,1.0,2507,81517,0,1262392
MI,3.0,551,18640,0,37055
MI,4.0,3883,28851,0,184523
MI,5.0,1384,16063,0,422941
MI,6.0,375,7160,0,417597
MI,7.0,257,19846,0,806040
MI,8.0,303,22451,0,928106
MI,9.0,330,24989,0,887000
MI,10.0,616,59392,0,1269204
MI,11.0,1865,191536,0,1796266
MI,12.0,3454,139679,0,1454021
MN,1.0,877,46505,2444,0
MN,3.0,12,915,112,0
MN,4.0,331,7200,932,0
MN,5.0,707,18206,2003,0
MN,6.0,426,9981,1007,0
MN,7.0,164,18160,1101,0
MN,8.0,226,21401,1325,0
MN,9.0,223,23270,1221,0
MN,10.0,368,49338,2569,0
MN,11.0,1136,170291,6521,0
MN,12.0,1730,96539,5073,0
MO,1.0,1229,66249,0,518554
MO,3.0,14,1327,0,19189
MO,4.0,315,6235,0,64881
MO,5.0,443,5585,0,99580
MO,6.0,243,8404,0,240564
MO,7.0,228,28772,0,471477
MO,8.0,287,34374,0,398436
MO,9.0,588,41416,0,553242
MO,10.0,906,57073,0,670181
MO,11.0,805,116576,0,558827
MO,12.0,1690,92808,0,561861
MP,1.0,0,10,0,0
MP,3.0,0,2,0,0
MP,4.0,2,12,0,0
MP,5.0,0,8,0,6173
MP,6.0,0,8,0,2044
MP,7.0,0,12,4,4528
MP,8.0,0,14,0,4881
MP,9.0,0,14,0,2793
MP,10.0,0,22,0,2214
MP,11.0,0,14,0,1311
MP,12.0,0,16,0,2187
MS,1.0,1258,59190,502,196032
MS,3.0,20,937,211,0
MS,4.0,241,5878,964,0
MS,5.0,473,8686,1097,171837
MS,6.0,339,11746,884,115709
MS,7.0,590,31500,1120,166124
MS,8.0,810,24203,1050,116410
MS,9.0,496,15240,518,158439
MS,10.0,365,21970,732,179589
MS,11.0,473,33110,910,196524
MS,12.0,980,62541,659,162970
MT,1.0,272,12394,677,162660
MT,3.0,4,184,14,3885
MT,4.0,12,269,47,10029
MT,5.0,1,62,6,25884
MT,6.0,5,452,34,51063
MT,7.0,38,2998,129,79109
MT,8.0,44,3456,206,80268
MT,9.0,76,5650,281,92920
MT,10.0,195,19730,633,155757
MT,11.0,306,29397,1272,157106
MT,12.0,280,19357,946,135568
NC,1.0,2587,217981,0,1964559
NC,3.0,8,1497,0,0
NC,4.0,370,9011,0,0
NC,5.0,508,18080,0,416289
NC,6.0,457,36081,0,493744
NC,7.0,581,57478,0,847069
NC,8.0,778,45165,0,499070
NC,9.0,830,43319,0,773770
NC,10.0,846,64003,0,1013756
NC,11.0,883,89877,0,1251592
NC,12.0,1487,175033,0,1603219
ND,1.0,153,5135,228,117686
ND,3.0,3,117,21,4098
ND,4.0,16,950,64,25341
ND,5.0,45,1507,82,65213
ND,6.0,24,998,64,87622
ND,7.0,19,2882,133,127956
ND,8.0,40,5336,190,161023
ND,9.0,102,10013,305,165121
ND,10.0,280,22391,759,230431
ND,11.0,404,36485,1090,277451
ND,12.0,356,11816,844,169304
NE,1.0,309,25416,584,356404
NE,2.0,0,0,0,25
NE,3.0,3,172,0,2977
NE,4.0,65,3612,0,25125
NE,5.0,102,10121,0,92019
NE,6.0,99,5137,1330,101037
NE,7.0,59,6724,280,126235
NE,8.0,64,8280,384,128855
NE,9.0,86,10998,321,142079
NE,10.0,168,24601,718,319771
NE,11.0,343,56821,1244,416048
NE,12.0,622,38831,943,389548
NH,1.0,298,21667,135,229228
NH,3.0,3,312,45,6240
NH,4.0,63,1740,214,17623
NH,5.0,176,2491,190,55996
NH,6.0,125,1215,116,71535
NH,7.0,48,784,127,82634
NH,8.0,17,731,22,94067
NH,9.0,7,991,24,117380
NH,10.0,44,2818,41,171119
NH,11.0,43,9910,60,200565
NH,12.0,233,23034,63,215770
NJ,1.0,2442,169844,13218,1590572
NJ,2.0,0,0,0,0
NJ,3.0,364,18696,0,0
NJ,4.0,8300,99956,0,0
NJ,5.0,4748,42152,17197,745308
NJ,6.0,1532,11833,2650,677066
NJ,7.0,775,11264,1718,673955
NJ,8.0,228,11504,1062,761589
NJ,9.0,175,15053,812,755114
NJ,10.0,228,39055,14249,1043074
NJ,11.0,643,117385,3525,1430390
NJ,12.0,2049,160087,6113,1649279
NM,1.0,806,31200,2386,373243
NM,3.0,5,315,0,0
NM,4.0,118,3096,536,0
NM,5.0,233,4278,781,199604
NM,6.0,141,4458,585,144577
NM,7.0,145,8453,784,213831
NM,8.0,137,4752,448,202862
NM,9.0,98,4083,361,160135
NM,10.0,141,17055,1122,251711
NM,11.0,550,50605,2165,385571
NM,12.0,909,45769,2907,411921
NV,1.0,1145,53577,0,0
NV,3.0,37,1112,0,14144
NV,4.0,232,3885,0,37617
NV,5.0,175,3595,0,113253
NV,6.0,63,9863,0,157930
NV,7.0,323,29632,0,293787
NV,8.0,475,21140,0,238054
NV,9.0,295,10752,0,197651
NV,10.0,177,20783,0,-1052436
NV,11.0,367,51406,0,0
NV,12.0,981,72562,0,0
NY,1.0,5138,436442,0,0
NY,3.0,1550,75795,17085,0
NY,4.0,16771,228577,60315,0
NY,5.0,5584,66398,12190,0
NY,6.0,950,22684,405,0
NY,7.0,295,21560,0,0
NY,8.0,178,19742,0,0
NY,9.0,151,23893,0,0
NY,10.0,328,48831,0,0
NY,11.0,940,140500,0,0
NY,12.0,3293,326234,0,0
OH,1.0,2213,195412,7881,1391486
OH,3.0,55,2199,585,27610
OH,4.0,920,15828,2948,110274
OH,5.0,1180,17486,2516,284324
OH,6.0,708,16276,1790,403112
OH,7.0,626,39370,2951,700861
OH,8.0,649,31998,2586,772921
OH,9.0,666,30830,2140,903527
OH,10.0,497,61710,3616,1264815
OH,11.0,1128,205366,7732,1669626
OH,12.0,2533,279317,11470,1545514
OK,1.0,1058,98536,4862,496830
OK,3.0,23,564,177,0
OK,4.0,199,3053,526,63779
OK,5.0,112,2888,282,130717
OK,6.0,53,7251,535,149127
OK,7.0,154,22730,1641,288912
OK,8.0,259,22246,1660,242141
OK,9.0,231,28466,1628,342905
OK,10.0,306,35563,2440,415120
OK,11.0,406,74983,3369,439236
OK,12.0,746,93191,4801,597233
OR,1.0,489,30156,1283,530275
OR,3.0,16,606,140,2542
OR,4.0,85,1840,429,65511
OR,5.0,52,1739,209,113453
OR,6.0,51,4300,247,178157
OR,7.0,112,9646,562,267105
OR,8.0,142,8423,521,227623
OR,9.0,97,6737,450,218124
OR,10.0,120,11098,646,368644
OR,11.0,230,29731,1139,526238
OR,12.0,563,38140,2112,665078
PA,1.0,5683,202899,0,0
PA,3.0,63,4843,514,0
PA,4.0,2229,40920,-514,0
PA,5.0,3263,26783,0,0
PA,6.0,1094,14060,0,0
PA,7.0,540,25442,0,0
PA,8.0,484,21977,0,0
PA,9.0,469,24942,0,0
PA,10.0,670,49060,0,0
PA,11.0,1571,153437,0,0
PA,12.0,5595,278861,0,0
PR,1.0,326,17333,0,0
PR,3.0,8,234,0,0
PR,4.0,84,716,0,0
PR,5.0,44,349,0,61702
PR,6.0,17,389,0,132622
PR,7.0,66,4304,0,116222
PR,8.0,215,9479,0,105118
PR,9.0,227,8524,0,0
PR,10.0,161,10138,0,-105118
PR,11.0,284,18407,0,0
PR,12.0,397,23746,0,0
RI,1.0,359,26166,1673,0
RI,3.0,8,566,0,4373
RI,4.0,258,8448,896,65354
RI,5.0,452,5972,805,93965
RI,6.0,232,1923,300,87944
RI,7.0,57,2111,210,113430
RI,8.0,41,2927,308,-365066
RI,9.0,66,2799,263,0
RI,10.0,90,8660,576,0
RI,11.0,169,23315,1224,0
RI,12.0,436,32818,1924,0
SC,1.0,1746,135879,3700,1031913
SC,3.0,22,1083,102,0
SC,4.0,222,5012,898,0
SC,5.0,250,5766,634,206247
SC,6.0,245,24538,1220,174223
SC,7.0,973,52617,2263,310466
SC,8.0,1008,29976,2694,256953
SC,9.0,658,28950,1349,356890
SC,10.0,557,28670,1340,488544
SC,11.0,446,40875,1377,592312
SC,12.0,915,90020,2513,763303
SD,1.0,290,9086,618,114940
SD,3.0,1,108,12,0
SD,4.0,16,2341,161,0
SD,5.0,45,2544,259,0
SD,6.0,29,1771,234,0
SD,7.0,39,2000,158,0
SD,8.0,37,4745,205,192432
SD,9.0,56,8880,520,77254
SD,10.0,202,23603,1134,163029
SD,11.0,521,34472,1819,177185
SD,12.0,542,18700,1170,151303
TN,1.0,2743,141059,2589,755669
TN,3.0,23,2238,175,0
TN,4.0,176,8496,870,0
TN,5.0,165,12271,705,0
TN,6.0,240,20503,915,792779
TN,7.0,456,62450,1996,719445
TN,8.0,694,48974,2217,685092
TN,9.0,700,41206,1855,679406
TN,10.0,899,64533,1573,780283
TN,11.0,1249,113821,1790,858650
TN,12.0,2305,212309,2435,1056060
TX,1.0,9054,604460,0,3656141
TX,3.0,41,3266,0,78220
TX,4.0,741,24821,0,308789
TX,5.0,890,36200,0,769109
TX,6.0,752,95699,0,1262247
TX,7.0,4145,260960,0,1960477
TX,8.0,5967,192023,0,1099528
TX,9.0,3175,135998,0,1120459
TX,10.0,2313,151629,0,1880696
TX,11.0,3355,377836,0,2531349
TX,12.0,6058,477740,0,2732105
US,1.0,0,0,0,0
US,3.0,0,0,0,3
US,4.0,0,0,0,0
US,5.0,0,0,0,171
US,6.0,0,0,0,522
US,7.0,0,0,0,341
US,8.0,0,0,0,477
US,9.0,0,0,0,57
US,10.0,0,0,0,45
US,11.0,0,0,0,372
US,12.0,0,0,0,152
UT,1.0,396,70012,2512,362055
UT,3.0,5,886,73,21930
UT,4.0,41,3785,317,97309
UT,5.0,67,5125,385,124570
UT,6.0,59,12420,669,168879
UT,7.0,132,17979,933,227660
UT,8.0,103,11911,716,182679
UT,9.0,52,20935,754,233091
UT,10.0,145,41614,1616,332944
UT,11.0,267,81050,2672,434984
UT,12.0,398,80906,2821,421257
VA,1.0,1432,155195,3368,0
VA,2.0,0,0,0,0
VA,3.0,27,1250,136,0
VA,4.0,525,14596,2123,0
VA,5.0,823,28761,2384,0
VA,6.0,388,18180,1560,0
VA,7.0,411,27101,1663,0
VA,8.0,406,30706,1703,0
VA,9.0,628,27677,1472,0
VA,10.0,446,32919,1563,0
VA,11.0,408,56645,2015,0
VA,12.0,970,111749,3422,0
VI,1.0,1,367,0,0
VI,3.0,0,29,0,0
VI,4.0,4,36,0,0
VI,5.0,2,3,0,0
VI,6.0,0,15,0,0
VI,7.0,2,322,0,0
VI,8.0,6,728,0,0
VI,9.0,6,184,0,0
VI,10.0,1,58,0,0
VI,11.0,2,168,0,0
VI,12.0,0,487,0,0
VT,1.0,38,4553,0,199646
VT,3.0,13,293,36,4447
VT,4.0,36,573,-36,12404
VT,5.0,6,115,0,22430
VT,6.0,1,229,0,37748
VT,7.0,1,206,0,41645
VT,8.0,1,201,0,65606
VT,9.0,0,139,0,98455
VT,10.0,0,439,0,125426
VT,11.0,11,2101,0,144793
VT,12.0,67,3116,0,144751
WA,1.0,865,69269,3135,0
WA,2.0,5,16,0,0
WA,3.0,257,5939,0,0
WA,4.0,539,9133,0,0
WA,5.0,317,7621,3480,0
WA,6.0,202,11969,843,0
WA,7.0,244,24516,1245,0
WA,8.0,341,17284,1172,0
WA,9.0,219,13259,743,0
WA,10.0,242,21868,1039,0
WA,11.0,337,64133,2237,0
WA,12.0,717,66590,3812,0
WI,1.0,1192,71702,2948,0
WI,3.0,16,1585,337,0
WI,4.0,300,6467,1175,0
WI,5.0,276,12512,1071,0
WI,6.0,192,11098,863,0
WI,7.0,157,25272,1191,0
WI,8.0,189,23634,1180,0
WI,9.0,207,48555,1483,0
WI,10.0,755,108747,4074,0
WI,11.0,1402,173860,5721,0
WI,12.0,1748,108708,4255,0
WV,1.0,686,35667,0,422962
WV,3.0,1,162,1,0
WV,4.0,40,956,-1,44541
WV,5.0,34,892,0,53081
WV,6.0,18,895,0,74041
WV,7.0,23,3737,0,112185
WV,8.0,98,3608,0,152015
WV,9.0,136,5598,0,125250
WV,10.0,107,8612,0,215496
WV,11.0,278,23382,0,354347
WV,12.0,603,37492,0,367736
WY,1.0,158,7503,182,133201
WY,3.0,0,109,17,2922
WY,4.0,7,450,39,8738
WY,5.0,9,344,29,15765
WY,6.0,4,584,32,22862
WY,7.0,6,1239,49,31380
WY,8.0,11,1116,49,39030
WY,9.0,13,2106,57,57676
WY,10.0,37,7350,167,105545
WY,11.0,128,20007,345,135669
WY,12.0,223,11104,318,82197
